,Season,Guest star,Episode title
352,10,Phil Hartman,"""Bart the Mother""[218]"
353,10,Marcia Wallace,"""Bart the Mother"""
354,10,Robert Englund,"""Treehouse of Horror IX""[219]"
355,10,Kathie Lee Gifford,"""Treehouse of Horror IX""[219]"
356,10,Ed McMahon,"""Treehouse of Horror IX""[219]"
357,10,Regis Philbin,"""Treehouse of Horror IX""[219]"
358,10,Jerry Springer,"""Treehouse of Horror IX""[219]"
359,10,Alec Baldwin,"""When You Dish Upon a Star""[220]"
360,10,Kim Basinger,"""When You Dish Upon a Star""[220]"
361,10,Brian Grazer,"""When You Dish Upon a Star""[220]"
362,10,Ron Howard,"""When You Dish Upon a Star""[220]"
363,10,George Carlin,"""D'oh-in' in the Wind""[221]"
364,10,Martin Mull,"""D'oh-in' in the Wind""[221]"
365,10,Yo La Tengo,"""D'oh-in' in the Wind""[221]"
366,10,Marcia Wallace,"""Lisa Gets an ""A"""""
